time,adxl_acceleration_x,adxl_acceleration_y,adxl_acceleration_z,mpl_altitude,mpu_acceleration_x,mpu_acceleration_y,mpu_acceleration_z,mpu_gyroscope_x,mpu_gyroscope_y,mpu_gyroscope_z,mpu_magnetometer_x,mpu_magnetometer_y,mpu_magnetometer_z
1605249390.7728,-3.8050,-31.5382,40.1288,-2.0625,-0.0720,-0.2740,0.6600,29.4970,-36.1410,-14.0490,-6.8360,-9.8270,0.6100
1605249390.8026,-3.7658,-31.3421,40.1288,-0.5000,-0.0730,-0.2740,0.6580,0.0000,0.0000,0.0000,-6.8360,-9.7050,0.6100
1605249390.8275,-3.8442,-31.8128,40.1288,-3.7501,-0.0750,-0.2740,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.6710
1605249390.8541,-3.7658,-31.6951,40.1288,2.1875,-0.0750,-0.2750,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.6100
1605249390.8776,-3.5304,-31.3421,40.1288,0.2500,-0.0730,-0.2750,0.6620,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249390.9053,-3.6088,-31.5774,40.1288,0.7500,-0.0760,-0.2740,0.6620,28.1010,-35.0830,-12.3560,-6.8360,-9.7660,0.6100
1605249390.9284,-3.9227,-31.6951,40.1288,2.1250,-0.0750,-0.2740,0.6580,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.4880
1605249390.9556,-3.6873,-31.4597,40.1288,-3.3751,-0.0760,-0.2730,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.7050,0.6100
1605249390.9777,-3.8442,-31.5774,40.1288,1.5000,-0.0750,-0.2730,0.6590,0.0000,0.0000,0.0000,-6.7750,-9.8880,0.6100
1605249391.0058,-3.6088,-31.5382,40.1288,-0.8750,-0.0740,-0.2750,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249391.0415,-3.6088,-31.5774,40.1288,0.4375,-0.0740,-0.2730,0.6630,31.4170,-35.9640,-12.5260,-6.8360,-9.8270,0.7320
1605249391.0801,-3.6873,-31.6559,40.1288,2.3750,-0.0730,-0.2740,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249391.1072,-3.6481,-31.6559,40.1288,-1.2500,-0.0760,-0.2750,0.6630,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6710
1605249391.1324,-3.6481,-31.4990,40.1288,-2.4375,-0.0750,-0.2750,0.6580,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.6710
1605249391.1730,-4.0796,-31.8912,40.1288,0.8750,-0.0750,-0.2740,0.6620,28.2750,-34.9060,-13.5410,-6.7750,-9.8270,0.6100
1605249391.2119,-3.7265,-31.4597,40.1288,-1.7500,-0.0760,-0.2720,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.5490
1605249391.2378,-3.8050,-31.7735,40.1288,-3.1250,-0.0750,-0.2710,0.6570,0.0000,0.0000,0.0000,-6.8360,-9.8880,0.6710
1605249391.2691,-3.6088,-31.4990,40.1288,1.0625,-0.0750,-0.2760,0.6610,29.6720,-36.3170,-12.5260,-6.8970,-9.8880,0.6100
1605249391.3143,-3.6873,-31.5382,40.1288,0.8750,-0.0730,-0.2730,0.6590,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249391.3475,-3.5696,-31.5382,40.1288,-1.6875,-0.0760,-0.2750,0.6620,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.7320
1605249391.3778,-3.6088,-31.4990,40.1288,-0.3125,-0.0750,-0.2730,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.6100
1605249391.4285,-3.6481,-31.5382,40.1288,2.1250,-0.0740,-0.2740,0.6610,29.1480,-34.7300,-13.0340,-6.8360,-9.7050,0.6710
1605249391.4729,-3.8442,-31.6951,40.1288,0.7500,-0.0750,-0.2750,0.6590,0.0000,0.0000,0.0000,-6.8360,-9.8880,0.6710
1605249391.4969,-3.6088,-31.5382,40.1288,1.9375,-0.0750,-0.2740,0.6640,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249391.5384,-3.6481,-31.4990,40.1288,0.7500,-0.0740,-0.2740,0.6620,28.2750,-34.9060,-12.8640,-6.8970,-9.7660,0.6710
1605249391.5730,-3.6088,-31.5382,40.1288,-1.6875,-0.0760,-0.2750,0.6590,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.5490
1605249391.6012,-3.6481,-31.3421,40.1288,0.3750,-0.0740,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.6100
1605249391.6319,-3.7265,-31.3813,40.1288,0.7500,-0.0750,-0.2750,0.6610,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6710
1605249391.6734,-3.6873,-31.4597,40.1288,-0.6250,-0.0740,-0.2730,0.6590,30.7190,-35.9640,-12.8640,-6.8360,-9.7660,0.6100
1605249391.7077,-3.7265,-31.4205,40.1288,0.1875,-0.0760,-0.2760,0.6610,0.0000,0.0000,0.0000,-6.9580,-9.7660,0.6100
1605249391.7415,-3.6873,-31.6559,40.1288,-0.5625,-0.0740,-0.2750,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.7660,0.5490
1605249391.7839,-3.6873,-31.5382,40.1288,-0.6875,-0.0740,-0.2730,0.6620,29.3220,-35.2590,-12.8640,-6.8360,-9.7660,0.6710
1605249391.8175,-3.6873,-31.4990,40.1288,0.1875,-0.0760,-0.2730,0.6600,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249391.8515,-3.5696,-31.6166,40.1288,1.5000,-0.0740,-0.2730,0.6600,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.6100
1605249391.8851,-3.6481,-31.7343,40.1288,1.0000,-0.0750,-0.2730,0.6620,0.0000,0.0000,0.0000,-6.7750,-9.8270,0.6710
1605249391.9195,-3.6088,-31.4990,40.1288,0.3750,-0.0730,-0.2730,0.6610,27.7520,-33.6720,-11.3410,-6.8360,-9.8270,0.6710
1605249391.9572,-3.6088,-31.5774,40.1288,2.1875,-0.0740,-0.2740,0.6620,0.0000,0.0000,0.0000,-6.8360,-9.8270,0.6710
1605249391.9844,-3.8050,-31.7735,40.1288,1.0625,-0.0760,-0.2750,0.6580,0.0000,0.0000,0.0000,-6.8360,-9.7660,0.6100
1605249392.0174,-3.6088,-31.5382,40.1288,0.5000,-0.0740,-0.2740,0.6590,0.0000,0.0000,0.0000,-6.8970,-9.8270,0.6710
1605249392.0488,-3.8834,-31.5774,40.1288,-0.1875,-0.0760,-0.2740,0.6600,29.6720,-36.3170,-13.2030,-6.8360,-9.7660,0.6710
